ID,Label FR,Label ES
http://id.who.int/icd/entity/1328675264,Manger,Comer
http://id.who.int/icd/entity/553784299,Boire,Beber
http://id.who.int/icd/entity/1626363729,Structures anatomiques,Estructuras corporales
http://id.who.int/icd/entity/1843740951,"Oeil, oreille et structures annexes","Capítulo 2 el ojo, el oído y estructuras relacionadas"
http://id.who.int/icd/entity/246722870,Structures entourant l'œil,Estructuras periféricas oculares
http://id.who.int/icd/entity/405925948,Muscles oculomoteurs,Músculos oculares externos
http://id.who.int/icd/entity/426292658,Structure de l'oreille interne,Estructura del oído interno
http://id.who.int/icd/entity/68679181,Vestibule,Laberinto vestibular
http://id.who.int/icd/entity/521411479,"Structures des systèmes cardio-vasculaire, immunitaire et respiratoire","Capítulo 4 estructuras de los sistemas cardiovascular, inmunológico y respiratorio"
http://id.who.int/icd/entity/829058183,Structure du système respiratoire,Estructura del sistema respiratorio
http://id.who.int/icd/entity/870135798,Poumons,Pulmones
http://id.who.int/icd/entity/495844982,Muscles respiratoires,Músculos de la respiración
http://id.who.int/icd/entity/1571232890,Muscles intercostaux,Músculos intercostales
http://id.who.int/icd/entity/138182487,"Structures liées aux systèmes digestif, métabolique et endocrinien","Capítulo 5 estructuras relacionadas con los sistemas digestivo, metabólico y endocrino"
http://id.who.int/icd/entity/256640543,Structure des glandes salivaires,Estructura de las glándulas salivales
http://id.who.int/icd/entity/644658903,Structures liées au mouvement,Capítulo 7 estructuras relacionadas con el movimiento
http://id.who.int/icd/entity/436620656,Structure de la région de la tête et du cou,Estructura de la cabeza y de la región del cuello
http://id.who.int/icd/entity/1874889854,Muscles de la région de la tête et du cou,Músculos de la cabeza y de la región del cuello
http://id.who.int/icd/entity/1108927576,Structure de la région des épaules,Estructura de la región del hombro
http://id.who.int/icd/entity/278512890,Muscles de la région des épaules,Músculos de la región del hombro
http://id.who.int/icd/entity/1019379329,Structure du membre supérieur,Estructura de la extremidad superior
http://id.who.int/icd/entity/640373779,Structure du bras,Estructura del brazo
http://id.who.int/icd/entity/1867012554,Muscles du bras,Músculos del brazo
http://id.who.int/icd/entity/822292691,Structure de l'avant-bras,Estructura del antebrazo
http://id.who.int/icd/entity/294830867,Muscles de l'avant-bras,Músculos del antebrazo
http://id.who.int/icd/entity/142318995,Structure de la main,Estructura de la mano
http://id.who.int/icd/entity/1233939003,Muscles de la main,Músculos de la mano
http://id.who.int/icd/entity/232409592,Structure de la région pelvienne,Estructura de la región pélvica
http://id.who.int/icd/entity/793188683,Muscles de la région pelvienne,Músculos de la región pélvica
http://id.who.int/icd/entity/1929433903,Structure du membre inférieur,Estructura de la extremidad inferior
http://id.who.int/icd/entity/435521956,Structure de la cuisse,Estructura del muslo
http://id.who.int/icd/entity/1794398084,Muscles de la cuisse,Músculos del muslo
http://id.who.int/icd/entity/249425252,Structure de la jambe,Estructura de la pierna
http://id.who.int/icd/entity/338611549,Muscles de la jambe,Músculos de la pierna
http://id.who.int/icd/entity/933576740,Structure de la cheville et pied,Estructura del tobillo y pie
http://id.who.int/icd/entity/1278239861,Muscles de la cheville et du pied,Músculos del tobillo y del pie
http://id.who.int/icd/entity/723417607,Structure du tronc,Estructura del tronco
http://id.who.int/icd/entity/58064740,Muscles du tronc,Músculos del tronco
