ID	Label EN	Annotation	TYPE	Parent Class
ID	A rdfs:label	A PROMOT:1000001 SPLIT=|	TYPE	SC % SPLIT=|
RO:0004029			Object property	
RO:0002351			Object property	
PROMOT:2000005			Object property	
RO:0000091			Object property	
RO:0001025			Object property	
PROMOT:2000003			Object property	
PROMOT:1000001			Annotation property	
http://www.orpha.net/ORDO/Orphanet_270	OPMD			(RO:0004029 some HP:0000467)|(RO:0004029 some HP:0030319)|(RO:0004029 some HP:0007715)|(RO:0004029 some HP:0000597)|(RO:0004029 some HP:0004878)|(RO:0004029 some HP:0009023)|(RO:0004029 some HP:0003327)|(RO:0004029 some HP:0003722)|(RO:0004029 some HP:0002141)|(RO:0004029 some HP:0002172)|(RO:0004029 some HP:0002317)|(RO:0004029 some HP:0003551)|(RO:0004029 some HP:0033235)|(RO:0004029 some HP:0008994)|(RO:0004029 some HP:0003749)|(RO:0004029 some HP:0003731)|(RO:0004029 some HP:0033416)|(RO:0004029 some HP:0012515)|(RO:0004029 some HP:0008997)|(RO:0004029 some HP:0003547)|(RO:0004029 some HP:0031108)|(RO:0004029 some HP:0009053)|(RO:0004029 some HP:0009027)|(RO:0004029 some HP:0011727)|(RO:0004029 some HP:0008963)|(RO:0004029 some HP:0031374)|(RO:0004029 some HP:0008959)|(RO:0004029 some HP:0030237)|(RO:0004029 some HP:0009077)|(RO:0004029 some HP:0009005)|(RO:0004029 some HP:0031177)|(RO:0004029 some HP:0003392)|(RO:0004029 some HP:0003427)|(RO:0004029 some HP:0003701)|(RO:0004029 some HP:0002460)|(RO:0004029 some HP:0007340)|(RO:0004029 some HP:0003483)|(RO:0004029 some HP:0003325)|(RO:0004029 some HP:0003690)|(RO:0004029 some HP:0009063)|(RO:0004029 some HP:0009073)|(RO:0004029 some HP:0001324)|(RO:0004029 some HP:0003323)|(RO:0004029 some HP:0005216)|(RO:0004029 some HP:0030842)|(RO:0004029 some HP:0031146)|(RO:0004029 some HP:0031162)|(RO:0004029 some HP:0032043)|(RO:0004029 some HP:0002015)|(RO:0004029 some HP:0002068)|(RO:0004029 some HP:0200136)|(RO:0004029 some HP:0002098)|(RO:0004029 some HP:0002094)|(RO:0004029 some HP:0002747)|(RO:0004029 some HP:0002093)|(RO:0004029 some HP:0004347)|(RO:0004029 some HP:0032341)|(RO:0004029 some HP:0001288)|(RO:0004029 some HP:0000651)|(RO:0004029 some HP:0001618)|(RO:0004029 some HP:0001609)|(RO:0004029 some HP:0033695)|(RO:0004029 some HP:0012378)|(RO:0004029 some HP:0031058)|(RO:0004029 some HP:0000602)|(RO:0004029 some HP:0000544)|(RO:0004029 some HP:0012531)|(RO:0004029 some HP:0033667)|(RO:0004029 some HP:0000508)|(RO:0004029 some HP:0000183)|(RO:0004029 some HP:6001011)|(RO:0004029 some HP:0011968)|(RO:0004029 some HP:0003236)|(RO:0004029 some HP:0007838)|(RO:0004029 some HP:0012473)|(RO:0004029 some HP:0001611)|(RO:0004029 some HP:0001260)|(RO:0004029 some HP:0008988)|(RO:0004029 some HP:0008997)|(RO:0004029 some HP:0012735)|(RO:0004029 some HP:0033466)|(RO:0004029 some HP:0003458)|(RO:0004029 some HP:0012497)
