ID	Label EN	Label EN annotation	Definition EN	Definition EN Source	Definition EN Comment	Commentaire	Commentaire.1	Commentaire.2	See Also	Term Editor	Commentaire.3	CrossRef	Change Note	Close match	Type	Parent Class	Equivalent Class	Domain	Range	Annotation
ID	AL rdfs:label@en	>A rdfs:comment	AL IAO:0000115@en	>A IAO:0000119	>A rdfs:comment	A rdfs:comment	A rdfs:comment	A rdfs:comment	AI rdfs:seeAlso SPLIT=|	A IAO:0000117	A rdfs:comment SPLIT=|	A oboInOwl:hasDbXref SPLIT=|	AL skos:changeNote@en	A skos:closeMatch SPLIT=|	TYPE	SC % SPLIT=|	EC %	DOMAIN	RANGE	A PROMOT:1000001 SPLIT=|
ECO:0006151	Documented statement evidence															(RO:0002350 some PROMOT:0010010)				
ECO:0006151	documented statement evidence					[PROMOT note] [Derived from RD-CDM] [6.2.9 Evidence]					[PROMOT note] [RD-CDM] Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z		[PROMOT note] The PROMOT ontology added a comment to quote the CDMs used as a source for this entity. The original element is phenotypicfeature.evidence from GA4GH.		Class	IAO:0000030|(RO:0002614 some IAO:0000027)				
FMA:13295	Diaphragm 															(RO:0000091 some HP:0030196)|(RO:0001025 some ICF:495844982)|(RO:0002328 some PROMOT:0032027)|(RO:0002328 some PROMOT:0032063)				
FMA:13354	Intercostal Muscle															(RO:0000091 some HP:0004878)|(RO:0000091 some PROMOT:0032014)|(RO:0000091 some HP:0003327)|(RO:0001025 some ICF:1571232890)|(RO:0002328 some PROMOT:0032035)|(RO:0002328 some PROMOT:0032071)				
FMA:13379	Rhomboid major															(RO:0000091 some HP:0003691)|(RO:0001025 some ICF:278512890)|(RO:0002328 some PROMOT:0032048)|(RO:0002328 some PROMOT:0032084)				
FMA:13380	Rhomboid minor															(RO:0000091 some HP:0003691)|(RO:0001025 some ICF:278512890)|(RO:0002328 some PROMOT:0032049)|(RO:0002328 some PROMOT:0032085)				
FMA:13397	Serratus anterior															(RO:0000091 some HP:0003691)|(RO:0001025 some ICF:278512890)|(RO:0002328 some PROMOT:0032050)|(RO:0002328 some PROMOT:0032086)				
FMA:22428	Quatriceps femoris 															(RO:0000091 some HP:0008994)|(RO:0000091 some HP:0003731)|(RO:0000091 some HP:0003701)|(RO:0000091 some HP:0007340)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009073)|(RO:0000091 some HP:0003694)|(RO:0001025 some ICF:1794398084)|(RO:0002328 some PROMOT:0032047)|(RO:0002328 some PROMOT:0032083)				
FMA:22471	Muscle of leg															(RO:0000091 some HP:0009053)|(RO:0000091 some HP:0011727)|(RO:0000091 some HP:0031374)|(RO:0000091 some HP:0002460)|(RO:0000091 some HP:0007340)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009063)|(RO:0000091 some HP:0030198)|(RO:0000091 some HP:0009028)|(RO:0000091 some HP:0003810)|(RO:0001025 some ICF:1278239861)|(RO:0001025 some ICF:338611549)|(RO:0002328 some PROMOT:0032038)|(RO:0002328 some PROMOT:0032074)				
FMA:22532	Tibialis anterior															(RO:0000091 some HP:0009053)|(RO:0000091 some HP:0008963)|(RO:0000091 some HP:0002460)|(RO:0000091 some HP:0007340)|(RO:0000091 some HP:0003690)|(RO:0000091 some HP:0009063)|(RO:0000091 some HP:0003810)|(RO:0001025 some ICF:338611549)|(RO:0002328 some PROMOT:0032055)|(RO:0002328 some PROMOT:0032091)				
