IRI	skos:notation	skos:altLabel
https://data.esante.gouv.fr/terminologies/icf#105503		
https://data.esante.gouv.fr/terminologies/icf#105696		
https://data.esante.gouv.fr/terminologies/icf#10570	d335	d335 producing nonverbal messages
https://data.esante.gouv.fr/terminologies/icf#105782		
https://data.esante.gouv.fr/terminologies/icf#105837		
https://data.esante.gouv.fr/terminologies/icf#105870		
https://data.esante.gouv.fr/terminologies/icf#105881		
https://data.esante.gouv.fr/terminologies/icf#105934		
https://data.esante.gouv.fr/terminologies/icf#105939		
https://data.esante.gouv.fr/terminologies/icf#10599	s3	structures involved in voice and speech
https://data.esante.gouv.fr/terminologies/icf#106011		
https://data.esante.gouv.fr/terminologies/icf#106201		
https://data.esante.gouv.fr/terminologies/icf#106344		
https://data.esante.gouv.fr/terminologies/icf#106384		
https://data.esante.gouv.fr/terminologies/icf#106445		
https://data.esante.gouv.fr/terminologies/icf#106544		
https://data.esante.gouv.fr/terminologies/icf#10658	b429	b429 functions of the cardiovascular system, other specified and unspecified
https://data.esante.gouv.fr/terminologies/icf#106605		
https://data.esante.gouv.fr/terminologies/icf#106634		
https://data.esante.gouv.fr/terminologies/icf#106638		
https://data.esante.gouv.fr/terminologies/icf#106654		
https://data.esante.gouv.fr/terminologies/icf#106664		
https://data.esante.gouv.fr/terminologies/icf#106790		
https://data.esante.gouv.fr/terminologies/icf#106826		
https://data.esante.gouv.fr/terminologies/icf#106842		
https://data.esante.gouv.fr/terminologies/icf#106879		
https://data.esante.gouv.fr/terminologies/icf#106938		
https://data.esante.gouv.fr/terminologies/icf#107045		
https://data.esante.gouv.fr/terminologies/icf#107069		
https://data.esante.gouv.fr/terminologies/icf#107105		
https://data.esante.gouv.fr/terminologies/icf#10723	e1609	e1609 products and technology of land development, unspecified
https://data.esante.gouv.fr/terminologies/icf#107232		
https://data.esante.gouv.fr/terminologies/icf#107286		
https://data.esante.gouv.fr/terminologies/icf#107306		
https://data.esante.gouv.fr/terminologies/icf#107334		
https://data.esante.gouv.fr/terminologies/icf#107357		
https://data.esante.gouv.fr/terminologies/icf#107462		
https://data.esante.gouv.fr/terminologies/icf#107528		
https://data.esante.gouv.fr/terminologies/icf#107562		
https://data.esante.gouv.fr/terminologies/icf#10766	e5308	e5308 utilities services, systems and policies, other specified
https://data.esante.gouv.fr/terminologies/icf#107684		
https://data.esante.gouv.fr/terminologies/icf#107738		
https://data.esante.gouv.fr/terminologies/icf#107843		
https://data.esante.gouv.fr/terminologies/icf#107878		
https://data.esante.gouv.fr/terminologies/icf#107926		
https://data.esante.gouv.fr/terminologies/icf#108060		
https://data.esante.gouv.fr/terminologies/icf#10812	b255	b255 smell function
https://data.esante.gouv.fr/terminologies/icf#108220		
https://data.esante.gouv.fr/terminologies/icf#108241		
https://data.esante.gouv.fr/terminologies/icf#108448		
https://data.esante.gouv.fr/terminologies/icf#108538		
https://data.esante.gouv.fr/terminologies/icf#108657		
https://data.esante.gouv.fr/terminologies/icf#108707		
https://data.esante.gouv.fr/terminologies/icf#108733		
https://data.esante.gouv.fr/terminologies/icf#108823		
https://data.esante.gouv.fr/terminologies/icf#108961		
https://data.esante.gouv.fr/terminologies/icf#10900	b1449	b1449 memory functions, unspecified
https://data.esante.gouv.fr/terminologies/icf#109184		
https://data.esante.gouv.fr/terminologies/icf#109198		
