defined_class	phenotype
http://id.who.int/icd/entity/1789365017	HP:0003694
http://id.who.int/icd/entity/1789365017	HP:0003810
http://id.who.int/icd/entity/1789365017	HP:0000496
http://id.who.int/icd/entity/1789365017	HP:0007941
http://id.who.int/icd/entity/893697482	HP:0003326
http://id.who.int/icd/entity/299098423	HP:0003326
http://id.who.int/icd/entity/117147127	HP:0003326
http://id.who.int/icd/entity/1065560247	HP:0003326
http://id.who.int/icd/entity/682314871	HP:0003326
http://id.who.int/icd/entity/1299345975	HP:0003326
http://id.who.int/icd/entity/1515853559	HP:0003326
http://id.who.int/icd/entity/1405368356	HP:0003394
http://id.who.int/icd/entity/621727843	HP:0003394
http://id.who.int/icd/entity/1434015402	HP:0001315
http://id.who.int/icd/entity/1434015402	HP:0031826
http://id.who.int/icd/entity/1434015402	HP:0001284
http://id.who.int/icd/entity/1434015402	HP:0001265
http://id.who.int/icd/entity/1434015402	HP:0002600
http://id.who.int/icd/entity/1434015402	HP:0002522
http://id.who.int/icd/entity/744367503	HP:0002104
http://id.who.int/icd/entity/1470583183	HP:0002104
http://id.who.int/icd/entity/744367503	HP:0002878
http://id.who.int/icd/entity/1470583183	HP:0002878
http://id.who.int/icd/entity/744367503	HP:0004887
http://id.who.int/icd/entity/1470583183	HP:0004887
http://id.who.int/icd/entity/744367503	HP:0002643
http://id.who.int/icd/entity/1470583183	HP:0002643
http://id.who.int/icd/entity/744367503	HP:0005949
http://id.who.int/icd/entity/1470583183	HP:0005949
http://id.who.int/icd/entity/744367503	HP:0004889
http://id.who.int/icd/entity/1470583183	HP:0004889
http://id.who.int/icd/entity/744367503	HP:0004885
http://id.who.int/icd/entity/1470583183	HP:0004885
http://id.who.int/icd/entity/1789365017	HP:0030006
http://id.who.int/icd/entity/1789365017	HP:0030205
http://id.who.int/icd/entity/1748092144	HP:0001374
http://id.who.int/icd/entity/2089171534	HP:0011968
http://id.who.int/icd/entity/1806589582	HP:0011968
http://id.who.int/icd/entity/1389818830	HP:0011968
http://id.who.int/icd/entity/1174312718	HP:0011968
http://id.who.int/icd/entity/923782542	HP:0011968
http://id.who.int/icd/entity/539470158	HP:0011968
http://id.who.int/icd/entity/2090906765	HP:0002047
http://id.who.int/icd/entity/1789365017	HP:0002058
http://id.who.int/icd/entity/1789365017	HP:0001761
http://id.who.int/icd/entity/248265067	HP:0003306
http://id.who.int/icd/entity/841397411	HP:0003306
http://id.who.int/icd/entity/859818654	HP:0000028
http://id.who.int/icd/entity/862066979	HP:0004325
http://id.who.int/icd/entity/1789365017	HP:0003457
http://id.who.int/icd/entity/1757783224	HP:0001387
http://id.who.int/icd/entity/1789365017	HP:0000486
http://id.who.int/icd/entity/841397411	HP:0003552
http://id.who.int/icd/entity/1757783224	HP:0002804
http://id.who.int/icd/entity/1525383756	HP:0001249
http://id.who.int/icd/entity/1363559646	HP:0001249
http://id.who.int/icd/entity/1034220517	HP:0001612
http://id.who.int/icd/entity/1919311435	HP:0001260
http://id.who.int/icd/entity/1846694084	HP:0001611
http://id.who.int/icd/entity/2021370201	HP:0007838
http://id.who.int/icd/entity/1789365017	HP:0007838
http://id.who.int/icd/entity/1789365017	HP:0012473
http://id.who.int/icd/entity/1789365017	HP:0012497
