defined_class	phenotype
http://www.orpha.net/ORDO/Orphanet_590	HP:0001288
http://www.orpha.net/ORDO/Orphanet_590	HP:0002515
http://www.orpha.net/ORDO/Orphanet_590	HP:0002359
http://www.orpha.net/ORDO/Orphanet_590	HP:0002540
http://www.orpha.net/ORDO/Orphanet_590	HP:0009046
http://www.orpha.net/ORDO/Orphanet_590	HP:0002505
http://www.orpha.net/ORDO/Orphanet_590	HP:0003473
http://www.orpha.net/ORDO/Orphanet_590	HP:0030196
http://www.orpha.net/ORDO/Orphanet_590	HP:0030198
http://www.orpha.net/ORDO/Orphanet_590	HP:0030199
http://www.orpha.net/ORDO/Orphanet_590	HP:0030200
http://www.orpha.net/ORDO/Orphanet_590	HP:0030192
http://www.orpha.net/ORDO/Orphanet_590	HP:0030194
http://www.orpha.net/ORDO/Orphanet_590	HP:0030195
http://www.orpha.net/ORDO/Orphanet_590	HP:0030197
http://www.orpha.net/ORDO/Orphanet_590	HP:0003391
http://www.orpha.net/ORDO/Orphanet_590	HP:0003307
http://www.orpha.net/ORDO/Orphanet_590	HP:0001252
http://www.orpha.net/ORDO/Orphanet_590	HP:0001319
http://www.orpha.net/ORDO/Orphanet_590	HP:0001324
http://www.orpha.net/ORDO/Orphanet_590	HP:0000467
http://www.orpha.net/ORDO/Orphanet_590	HP:0030319
http://www.orpha.net/ORDO/Orphanet_590	HP:0000597
http://www.orpha.net/ORDO/Orphanet_590	HP:0007715
http://www.orpha.net/ORDO/Orphanet_590	HP:0003327
http://www.orpha.net/ORDO/Orphanet_590	HP:0004878
http://www.orpha.net/ORDO/Orphanet_590	HP:0009023
http://www.orpha.net/ORDO/Orphanet_590	HP:0003722
http://www.orpha.net/ORDO/Orphanet_590	HP:0003690
http://www.orpha.net/ORDO/Orphanet_590	HP:0009053
http://www.orpha.net/ORDO/Orphanet_590	HP:0008959
http://www.orpha.net/ORDO/Orphanet_590	HP:0007340
http://www.orpha.net/ORDO/Orphanet_590	HP:0003484
http://www.orpha.net/ORDO/Orphanet_590	HP:0003325
http://www.orpha.net/ORDO/Orphanet_590	HP:0003701
http://www.orpha.net/ORDO/Orphanet_590	HP:0002460
http://www.orpha.net/ORDO/Orphanet_590	HP:0009028
http://www.orpha.net/ORDO/Orphanet_590	HP:0011727
http://www.orpha.net/ORDO/Orphanet_590	HP:0030237
http://www.orpha.net/ORDO/Orphanet_590	HP:0009063
http://www.orpha.net/ORDO/Orphanet_590	HP:0009073
http://www.orpha.net/ORDO/Orphanet_590	HP:0008963
http://www.orpha.net/ORDO/Orphanet_590	HP:0003427
http://www.orpha.net/ORDO/Orphanet_590	HP:0008994
http://www.orpha.net/ORDO/Orphanet_590	HP:0003749
http://www.orpha.net/ORDO/Orphanet_590	HP:0003392
http://www.orpha.net/ORDO/Orphanet_590	HP:0003731
http://www.orpha.net/ORDO/Orphanet_590	HP:0003694
http://www.orpha.net/ORDO/Orphanet_590	HP:0003810
http://www.orpha.net/ORDO/Orphanet_590	HP:0008997
http://www.orpha.net/ORDO/Orphanet_590	HP:0003547
http://www.orpha.net/ORDO/Orphanet_590	HP:0009005
http://www.orpha.net/ORDO/Orphanet_590	HP:0033416
http://www.orpha.net/ORDO/Orphanet_590	HP:0012515
http://www.orpha.net/ORDO/Orphanet_590	HP:0009027
http://www.orpha.net/ORDO/Orphanet_590	HP:0031108
