defined_class	source	function	activity
HP:0003722	CM HPO KB associations		
HP:0003701	CM HPO KB associations		
HP:0001270	CM HPO KB associations		
HP:0001288	CM HPO KB associations		
HP:0001284	CM HPO KB associations		
HP:0001252	CM HPO KB associations		
HP:0001265	CM HPO KB associations		
HP:0002515	CM HPO KB associations		
HP:0003810	CM HPO KB associations		
HP:0001374	CM HPO KB associations		
HP:0008872	CM HPO KB associations		
HP:0002650	CM HPO KB associations		
HP:0001319	CM HPO KB associations		
HP:0001315	CM HPO KB associations		
HP:0002705	CM HPO KB associations		
HP:0002751	CM HPO KB associations		
HP:0002747	CM HPO KB associations		
HP:0003327	CM HPO KB associations		
HP:0003325	CM HPO KB associations		
HP:0002015	CM HPO KB associations		
HP:0003307	CM HPO KB associations		
HP:0003306	CM HPO KB associations		
HP:0003323	CM HPO KB associations		
HP:0002098	CM HPO KB associations		
HP:0002093	CM HPO KB associations		
HP:0002068	CM HPO KB associations		
HP:0003391	CM HPO KB associations		
HP:0002058	CM HPO KB associations		
HP:0008180	CM HPO KB associations		
HP:0040288	CM HPO KB associations		
HP:0003458	CM HPO KB associations		
HP:0003445	CM HPO KB associations		
HP:0003552	CM HPO KB associations	http://id.who.int/icd/entity/841397411	
HP:0003547	CM HPO KB associations		
HP:0004878	CM HPO KB associations		
HP:0004887	CM HPO KB associations		
HP:0011968	CM HPO KB associations		
HP:0003691	CM HPO KB associations		
HP:0003690	CM HPO KB associations		
HP:0002359	CM HPO KB associations		
HP:0033454	CM HPO KB associations		
HP:0000602	CM HPO KB associations		
HP:0009027	CM HPO KB associations		
HP:0001989	CM HPO KB associations		
HP:0004347	CM HPO KB associations		
HP:0000767	CM HPO KB associations		
HP:0011471	CM HPO KB associations		
HP:0011470	CM HPO KB associations		
HP:0000774	CM HPO KB associations		
HP:0003236	CM HPO KB associations		
HP:0000276	CM HPO KB associations		
HP:0002808	CM HPO KB associations		
HP:0002804	CM HPO KB associations	http://id.who.int/icd/entity/1757783224	
HP:0002878	CM HPO KB associations		
HP:0000218	CM HPO KB associations		
HP:0001558	CM HPO KB associations		
HP:0001508	CM HPO KB associations		
HP:0030200	CM HPO KB associations		
HP:0005216	CM HPO KB associations		
HP:0001609	CM HPO KB associations		
HP:0030196	CM HPO KB associations		
HP:0030192	CM HPO KB associations		
HP:0030198	CM HPO KB associations		
HP:0001627	CM HPO KB associations		
HP:0001622	CM HPO KB associations		
HP:0001638	CM HPO KB associations		
HP:0030319	CM HPO KB associations		
HP:0000467	CM HPO KB associations		
HP:0001761	CM HPO KB associations		
HP:0000508	CM HPO KB associations		
HP:0002540	CM HPO KB associations		
HP:0000028	CM HPO KB associations		
HP:0002643	CM HPO KB associations		
HP:0030195	CM HPO KB associations		
HP:0000544	CM HPO KB associations		
HP:0002104	CM HPO KB associations		
HP:0009073	CM HPO KB associations		
HP:0009077	CM HPO KB associations		
HP:0009063	CM HPO KB associations		
HP:0009005	CM HPO KB associations		
HP:0001547	CM HPO KB associations		
HP:0001324	CM HPO KB associations		
HP:0008959	CM HPO KB associations		
HP:0002047	CM HPO KB associations		
HP:0003473	CM HPO KB associations		
HP:0009046	CM HPO KB associations		
HP:0031936	CM HPO KB associations		
HP:0040081	CM HPO KB associations		
HP:0002828	CM HPO KB associations		
HP:0004889	CM HPO KB associations		
HP:0004322	CM HPO KB associations		
HP:0001249	CM HPO KB associations	http://id.who.int/icd/entity/1525383756	
HP:0001249		http://id.who.int/icd/entity/1363559646	
HP:0002505	CM HPO KB associations		
HP:0004325	CM HPO KB associations	http://id.who.int/icd/entity/862066979	
HP:0003457	CM HPO KB associations	http://id.who.int/icd/entity/1789365017	
HP:0001387	CM HPO KB associations	http://id.who.int/icd/entity/1757783224	
HP:0000486 	CM HPO KB associations	http://id.who.int/icd/entity/1789365017	
HP:0003819	CM HPO KB associations		
HP:0003811	CM HPO KB associations		
HP:0000007	CM HPO KB associations		
HP:0000006	CM HPO KB associations		
HP:0003593	CM HPO KB associations		
HP:0003577	CM HPO KB associations		
HP:0003623	CM HPO KB associations		
HP:0011462	CM HPO KB associations		
HP:0011463	CM HPO KB associations		
