defined_class	source	function	activity
HP:0001618		http://id.who.int/icd/entity/1426641453	
HP:0001618		http://id.who.int/icd/entity/1034220517	
HP:0001609	OPMD Survey	http://id.who.int/icd/entity/712570723	
HP:0033695	OPMD Survey		http://id.who.int/icd/entity/49044301
HP:0033695			http://id.who.int/icd/entity/73014515
HP:0030319	OPMD Survey		
HP:0012378	OPMD Survey	http://id.who.int/icd/entity/1864074583	
HP:0031058	OPMD Survey		http://id.who.int/icd/entity/1608009360
HP:0031058			http://id.who.int/icd/entity/1535125568
HP:0007340	OPMD Survey		
HP:0008994	OPMD Survey		
HP:0003749	OPMD Survey		
HP:0003731	OPMD Survey		
HP:0033416	OPMD Survey		
HP:0012515	OPMD Survey		
HP:0009053	OPMD Survey		
HP:0009027	OPMD Survey		
HP:0011727	OPMD Survey		
HP:0008963	OPMD Survey		
HP:0031374	OPMD Survey		
HP:0000602	OPMD Survey	http://id.who.int/icd/entity/1789365017	
HP:0000602		http://id.who.int/icd/entity/1090716697	
HP:0000544	OPMD Survey	http://id.who.int/icd/entity/1789365017	
HP:0000544		http://id.who.int/icd/entity/1090716697	
HP:0000597	OPMD Survey		
HP:0012531	OPMD Survey	http://id.who.int/icd/entity/893697482	
HP:0012531		http://id.who.int/icd/entity/299098423	
HP:0012531		http://id.who.int/icd/entity/117147127	
HP:0012531		http://id.who.int/icd/entity/1065560247	
HP:0012531		http://id.who.int/icd/entity/682314871	
HP:0012531		http://id.who.int/icd/entity/1299345975	
HP:0012531		http://id.who.int/icd/entity/1515853559	
HP:0012531		http://id.who.int/icd/entity/454325322	
HP:0033667	OPMD Survey		
HP:0000508	OPMD Survey	http://id.who.int/icd/entity/2021370201	
HP:0000508		http://id.who.int/icd/entity/1789365017	
HP:0000183	OPMD Survey	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/1328675264
HP:0000183			http://id.who.int/icd/entity/553784299
HP:0000183			http://id.who.int/icd/entity/151046878
HP:0008959	OPMD Survey		
HP:0030237	OPMD Survey		
HP:0009077	OPMD Survey		
HP:0009005	OPMD Survey		
HP:0031177	OPMD Survey		
HP:0003392	OPMD Survey		
HP:0003427	OPMD Survey		
HP:0008987	OPMD Survey		
HP:0003547	OPMD Survey		
HP:0031108	OPMD Survey		
HP:0003484	OPMD Survey		
HP:6001011	OPMD Survey	http://id.who.int/icd/entity/1846694084	http://id.who.int/icd/entity/151046878
HP:0002460	OPMD HPO KB associations		
HP:0003701	OPMD HPO KB associations		
HP:0001288	OPMD HPO KB associations		
HP:0000006	OPMD HPO KB associations		
HP:0003327	OPMD HPO KB associations		
HP:0003325	OPMD HPO KB associations		
HP:0002015	OPMD HPO KB associations		
HP:0003584	OPMD HPO KB associations		
HP:0011968	OPMD HPO KB associations		
HP:0003690	OPMD HPO KB associations		
HP:0003676	OPMD HPO KB associations		
HP:0000602	OPMD HPO KB associations		
HP:0003236	OPMD HPO KB associations		
HP:0007838	OPMD HPO KB associations	http://id.who.int/icd/entity/2021370201	
HP:0007838		http://id.who.int/icd/entity/1789365017	
HP:0012378	OPMD HPO KB associations		
HP:0001618	OPMD HPO KB associations		
HP:0030319	OPMD HPO KB associations		
HP:0012473	OPMD HPO KB associations	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/1328675264
HP:0012473			http://id.who.int/icd/entity/553784299
HP:0012473			http://id.who.int/icd/entity/151046878
HP:0000467	OPMD HPO KB associations		
HP:0000508	OPMD HPO KB associations		
HP:0012531	OPMD HPO KB associations		
